PM2.5,PM10,SO2,NO2,CO,O3,Skor,year,month,day,Datetime
59.71,141.54,42.67,76.5,1262.95,90.13,278.92,2013.0,5.0,22.0,2013-05-22
62.42,139.25,36.08,96.04,1464.3,85.56,313.94,2013.0,5.0,23.0,2013-05-23
103.96,177.25,20.71,75.29,1462.42,56.62,316.04,2013.0,5.0,24.0,2013-05-24
59.79,121.21,31.04,62.46,879.17,87.42,206.85,2013.0,5.0,25.0,2013-05-25
97.33,118.58,12.0,55.62,1366.46,19.38,278.23,2013.0,5.0,26.0,2013-05-26
67.29,83.0,7.17,53.62,823.46,35.2,178.29,2013.0,5.0,27.0,2013-05-27
70.42,87.12,3.38,70.08,929.12,18.33,196.41,2013.0,5.0,28.0,2013-05-28
15.12,57.96,5.38,31.5,275.0,76.67,76.94,2013.0,5.0,29.0,2013-05-29
55.17,139.46,20.75,81.54,696.91,98.09,181.99,2013.0,5.0,30.0,2013-05-30
94.71,158.5,32.25,52.83,819.29,128.27,214.31,2013.0,5.0,31.0,2013-05-31
69.96,123.0,9.25,61.04,570.83,78.25,152.06,2013.0,6.0,1.0,2013-06-01
153.71,183.88,15.38,67.71,1545.75,72.33,339.79,2013.0,6.0,2.0,2013-06-02
118.46,156.21,14.54,78.75,1266.58,111.42,290.99,2013.0,6.0,3.0,2013-06-03
123.33,166.83,13.0,88.58,1670.67,59.88,353.72,2013.0,6.0,4.0,2013-06-04
122.79,118.0,3.0,55.54,1537.29,22.17,309.8,2013.0,6.0,5.0,2013-06-05
126.79,136.96,3.75,58.54,2270.38,11.21,434.6,2013.0,6.0,6.0,2013-06-06
121.29,131.54,5.79,67.88,2253.71,5.83,431.01,2013.0,6.0,7.0,2013-06-07
169.92,197.29,7.46,81.17,2528.92,7.67,498.74,2013.0,6.0,8.0,2013-06-08
47.88,54.67,5.73,65.58,1034.33,22.12,205.05,2013.0,6.0,9.0,2013-06-09
23.46,36.42,5.12,70.08,537.5,42.21,119.13,2013.0,6.0,10.0,2013-06-10
62.46,88.96,5.75,88.25,545.83,58.92,141.7,2013.0,6.0,11.0,2013-06-11
60.12,71.71,13.83,69.08,824.96,106.29,191.0,2013.0,6.0,12.0,2013-06-12
112.71,139.38,32.29,84.58,1199.79,129.62,283.06,2013.0,6.0,13.0,2013-06-13
109.96,160.25,33.88,78.96,804.17,154.83,223.67,2013.0,6.0,14.0,2013-06-14
126.58,186.75,37.83,106.72,1292.62,100.04,308.42,2013.0,6.0,15.0,2013-06-15
172.83,184.08,36.88,91.08,1823.21,36.1,390.7,2013.0,6.0,16.0,2013-06-16
43.58,57.33,8.5,56.0,562.46,86.12,135.66,2013.0,6.0,17.0,2013-06-17
48.12,99.29,14.42,90.88,665.12,82.22,166.68,2013.0,6.0,18.0,2013-06-18
52.42,84.67,20.93,60.56,984.9,95.28,216.46,2013.0,6.0,19.0,2013-06-19
56.21,92.88,19.87,95.38,1070.66,65.92,233.49,2013.0,6.0,20.0,2013-06-20
50.92,102.08,13.14,81.45,1262.95,84.03,265.76,2013.0,6.0,21.0,2013-06-21
50.04,64.17,4.09,62.49,1262.95,37.41,246.86,2013.0,6.0,22.0,2013-06-22
57.0,62.71,8.78,63.42,1262.95,114.23,261.52,2013.0,6.0,23.0,2013-06-23
109.62,126.83,8.7,60.14,1262.95,116.56,280.8,2013.0,6.0,24.0,2013-06-24
120.96,112.38,14.99,62.01,1262.95,43.43,269.45,2013.0,6.0,25.0,2013-06-25
150.21,148.54,10.45,59.58,1262.95,118.29,291.67,2013.0,6.0,26.0,2013-06-26
84.54,111.0,11.94,68.82,1262.95,111.69,275.16,2013.0,6.0,27.0,2013-06-27
318.0,329.46,32.11,75.98,1865.72,62.05,447.22,2013.0,6.0,28.0,2013-06-28
101.83,106.79,10.29,61.33,1503.92,40.33,304.08,2013.0,6.0,29.0,2013-06-29
221.54,227.46,18.92,70.54,2437.12,29.0,500.76,2013.0,6.0,30.0,2013-06-30
174.92,149.04,18.9,72.68,1943.57,10.64,394.96,2013.0,7.0,1.0,2013-07-01
13.79,28.08,4.71,43.96,374.96,75.29,90.13,2013.0,7.0,2.0,2013-07-02
26.92,80.5,8.42,72.29,504.17,61.67,125.66,2013.0,7.0,3.0,2013-07-03
21.67,64.46,6.67,57.29,435.96,70.51,109.43,2013.0,7.0,4.0,2013-07-04
19.79,47.62,5.42,45.92,350.0,85.71,92.41,2013.0,7.0,5.0,2013-07-05
57.12,134.67,13.71,59.21,766.67,124.54,192.65,2013.0,7.0,6.0,2013-07-06
88.29,110.0,9.0,42.17,760.91,128.35,189.79,2013.0,7.0,7.0,2013-07-07
98.42,90.21,6.12,54.83,804.17,84.17,189.65,2013.0,7.0,8.0,2013-07-08
88.42,77.71,6.54,60.88,820.83,26.12,180.08,2013.0,7.0,9.0,2013-07-09
31.25,42.33,3.71,53.83,596.91,22.82,125.14,2013.0,7.0,10.0,2013-07-10
34.42,53.25,4.24,57.92,760.03,29.0,156.48,2013.0,7.0,11.0,2013-07-11
68.33,84.12,6.13,55.2,936.1,109.23,209.85,2013.0,7.0,12.0,2013-07-12
129.46,115.88,9.33,47.79,1115.12,108.68,254.38,2013.0,7.0,13.0,2013-07-13
100.71,98.54,16.04,46.88,945.83,85.96,215.66,2013.0,7.0,14.0,2013-07-14
48.25,32.25,3.71,52.58,1191.67,7.0,222.58,2013.0,7.0,15.0,2013-07-15
23.04,31.96,4.67,41.38,485.96,54.51,106.92,2013.0,7.0,16.0,2013-07-16
41.54,82.67,12.96,59.92,600.0,84.46,146.93,2013.0,7.0,17.0,2013-07-17
145.67,131.33,16.5,53.58,1429.17,75.88,308.69,2013.0,7.0,18.0,2013-07-18
130.21,123.46,10.38,49.79,835.96,96.81,207.77,2013.0,7.0,19.0,2013-07-19
79.67,98.04,6.75,49.58,704.17,85.58,170.63,2013.0,7.0,20.0,2013-07-20
76.38,106.5,8.71,57.79,766.67,83.71,183.29,2013.0,7.0,21.0,2013-07-21
85.5,125.71,16.33,62.21,1120.98,93.17,250.65,2013.0,7.0,22.0,2013-07-22
40.92,73.5,8.5,35.58,473.46,102.55,122.42,2013.0,7.0,23.0,2013-07-23
35.92,65.29,9.33,50.0,437.5,58.04,109.35,2013.0,7.0,24.0,2013-07-24
31.04,81.04,12.0,49.38,671.91,92.12,156.25,2013.0,7.0,25.0,2013-07-25
51.25,79.58,27.88,65.08,1520.83,13.0,292.94,2013.0,7.0,26.0,2013-07-26
105.83,87.17,5.67,67.67,1291.67,14.46,262.08,2013.0,7.0,27.0,2013-07-27
69.92,58.21,6.67,53.8,1081.79,72.64,223.84,2013.0,7.0,28.0,2013-07-28
58.92,98.42,5.38,81.58,825.0,48.12,186.24,2013.0,7.0,29.0,2013-07-29
114.92,131.33,7.46,60.25,929.17,117.17,226.72,2013.0,7.0,30.0,2013-07-30
43.79,65.67,6.93,48.39,544.29,111.93,136.83,2013.0,7.0,31.0,2013-07-31
43.46,37.67,3.41,63.27,652.62,43.18,140.6,2013.0,8.0,1.0,2013-08-01
69.58,74.29,7.17,59.04,825.0,74.58,184.94,2013.0,8.0,2.0,2013-08-02
26.29,52.08,4.11,44.01,1002.92,91.76,203.53,2013.0,8.0,3.0,2013-08-03
77.88,93.25,6.39,41.31,1156.62,115.37,248.47,2013.0,8.0,4.0,2013-08-04
45.12,48.21,3.51,48.4,924.22,130.07,199.92,2013.0,8.0,5.0,2013-08-05
133.62,171.88,4.66,61.08,1187.33,107.01,277.6,2013.0,8.0,6.0,2013-08-06
33.71,29.25,6.31,41.87,949.22,55.81,186.03,2013.0,8.0,7.0,2013-08-07
28.08,63.12,6.89,58.33,938.26,85.63,196.72,2013.0,8.0,8.0,2013-08-08
34.88,78.5,10.29,54.49,1019.59,107.8,217.59,2013.0,8.0,9.0,2013-08-09
92.33,146.38,10.21,53.83,1127.31,137.93,261.33,2013.0,8.0,10.0,2013-08-10
147.29,145.79,4.21,50.75,1309.1,62.98,286.69,2013.0,8.0,11.0,2013-08-11
49.0,41.58,3.62,42.94,797.06,72.05,167.71,2013.0,8.0,12.0,2013-08-12
87.17,92.58,8.25,54.04,820.83,92.21,192.51,2013.0,8.0,13.0,2013-08-13
67.46,91.92,6.33,74.96,708.33,96.33,174.22,2013.0,8.0,14.0,2013-08-14
121.33,138.79,8.58,61.38,1069.29,90.1,248.24,2013.0,8.0,15.0,2013-08-15
126.5,152.88,8.17,66.75,1325.0,39.92,286.54,2013.0,8.0,16.0,2013-08-16
43.54,67.29,11.79,47.83,558.33,51.58,130.06,2013.0,8.0,17.0,2013-08-17
12.62,34.38,5.67,39.17,469.29,75.47,106.1,2013.0,8.0,18.0,2013-08-18
20.58,50.38,5.83,60.25,540.12,64.94,123.68,2013.0,8.0,19.0,2013-08-19
92.88,145.83,14.17,68.25,1220.83,87.54,271.58,2013.0,8.0,20.0,2013-08-20
106.83,88.08,8.5,54.83,1019.29,61.85,223.23,2013.0,8.0,21.0,2013-08-21
117.25,148.88,5.38,102.83,1180.25,16.71,261.88,2013.0,8.0,22.0,2013-08-22
57.54,85.42,6.54,69.38,850.0,42.25,185.19,2013.0,8.0,23.0,2013-08-23
33.5,82.29,7.0,72.96,681.79,58.31,155.98,2013.0,8.0,24.0,2013-08-24
36.58,90.25,8.17,67.33,591.67,99.83,148.97,2013.0,8.0,25.0,2013-08-25
52.12,105.79,12.08,64.12,795.83,92.04,187.0,2013.0,8.0,26.0,2013-08-26
59.88,85.29,11.62,65.21,1335.96,28.1,264.34,2013.0,8.0,27.0,2013-08-27
61.46,55.71,6.0,57.09,1808.33,18.88,334.58,2013.0,8.0,28.0,2013-08-28
28.04,48.58,3.75,41.6,650.0,31.62,133.93,2013.0,8.0,29.0,2013-08-29
8.62,24.54,2.25,31.79,266.67,37.92,61.96,2013.0,8.0,30.0,2013-08-30
16.21,47.25,6.12,43.71,383.33,36.12,88.79,2013.0,8.0,31.0,2013-08-31
42.17,91.0,10.54,50.46,858.33,72.54,187.51,2013.0,9.0,1.0,2013-09-01
47.83,75.62,11.17,51.42,812.5,79.38,179.65,2013.0,9.0,2.0,2013-09-02
94.5,132.21,11.0,55.79,1033.33,84.54,235.23,2013.0,9.0,3.0,2013-09-03
69.96,65.83,5.0,52.5,916.67,47.67,192.94,2013.0,9.0,4.0,2013-09-04
20.0,28.71,5.62,37.79,487.5,51.0,105.1,2013.0,9.0,5.0,2013-09-05
64.38,67.83,14.42,53.42,1350.0,51.5,266.92,2013.0,9.0,6.0,2013-09-06
72.21,87.62,10.92,64.71,1295.83,54.33,264.27,2013.0,9.0,7.0,2013-09-07
85.54,118.08,20.46,65.29,1358.33,42.67,281.73,2013.0,9.0,8.0,2013-09-08
74.62,80.79,11.46,53.88,804.17,59.17,180.68,2013.0,9.0,9.0,2013-09-09
52.75,72.04,10.54,57.31,658.33,35.29,147.71,2013.0,9.0,10.0,2013-09-10
58.0,106.71,16.46,63.5,729.17,62.54,172.73,2013.0,9.0,11.0,2013-09-11
149.0,198.25,25.04,111.54,1537.5,35.04,342.73,2013.0,9.0,12.0,2013-09-12
83.83,101.67,3.88,63.67,1070.83,13.58,222.91,2013.0,9.0,13.0,2013-09-13
51.38,65.12,6.25,52.93,894.29,27.64,182.94,2013.0,9.0,14.0,2013-09-14
20.67,63.79,11.0,56.21,441.67,25.12,103.08,2013.0,9.0,15.0,2013-09-15
46.58,103.12,19.21,66.46,1012.5,23.58,211.91,2013.0,9.0,16.0,2013-09-16
82.62,120.29,16.54,76.33,1870.83,1.0,361.27,2013.0,9.0,17.0,2013-09-17
105.33,101.75,17.75,61.96,2245.83,18.08,425.12,2013.0,9.0,18.0,2013-09-18
105.71,104.5,17.96,54.79,1667.62,36.5,331.18,2013.0,9.0,19.0,2013-09-19
51.88,74.88,4.83,54.0,699.96,28.21,152.29,2013.0,9.0,20.0,2013-09-20
38.71,76.04,8.92,53.0,479.17,56.83,118.78,2013.0,9.0,21.0,2013-09-21
77.04,128.08,11.17,86.25,1217.75,7.06,254.56,2013.0,9.0,22.0,2013-09-22
38.96,60.33,9.71,40.79,950.0,10.58,185.06,2013.0,9.0,23.0,2013-09-23
10.46,24.38,7.29,39.88,408.33,20.54,85.15,2013.0,9.0,24.0,2013-09-24
11.62,41.92,6.12,50.04,358.33,27.17,82.53,2013.0,9.0,25.0,2013-09-25
42.5,94.33,16.0,73.12,758.33,23.96,168.04,2013.0,9.0,26.0,2013-09-26
161.75,210.83,34.17,102.62,1662.5,52.46,370.72,2013.0,9.0,27.0,2013-09-27
241.08,260.67,22.42,85.83,1329.78,47.77,331.26,2013.0,9.0,28.0,2013-09-28
221.71,231.5,19.33,97.58,1445.83,12.71,338.11,2013.0,9.0,29.0,2013-09-29
153.54,163.88,29.33,91.67,1479.17,14.08,321.94,2013.0,9.0,30.0,2013-09-30
75.71,85.58,9.88,61.04,1252.77,19.79,250.8,2013.0,10.0,1.0,2013-10-01
15.54,30.04,5.88,38.96,304.17,40.17,72.46,2013.0,10.0,2.0,2013-10-02
57.29,91.71,30.83,62.54,1166.67,28.83,239.64,2013.0,10.0,3.0,2013-10-03
139.46,170.75,46.92,92.29,2120.83,31.17,433.57,2013.0,10.0,4.0,2013-10-04
281.42,300.42,30.08,112.83,2266.67,32.08,503.92,2013.0,10.0,5.0,2013-10-05
226.25,235.62,45.38,99.04,2333.33,13.29,492.15,2013.0,10.0,6.0,2013-10-06
78.25,92.67,44.21,60.25,908.33,24.58,201.38,2013.0,10.0,7.0,2013-10-07
58.12,87.42,30.67,56.83,641.67,36.62,151.89,2013.0,10.0,8.0,2013-10-08
141.5,184.5,45.0,95.12,1487.5,10.29,327.32,2013.0,10.0,9.0,2013-10-09
76.38,105.21,45.84,41.12,1001.69,26.5,216.12,2013.0,10.0,10.0,2013-10-10
48.42,95.75,34.62,73.29,785.96,27.65,177.62,2013.0,10.0,11.0,2013-10-11
64.75,85.5,5.5,81.83,820.83,15.83,179.04,2013.0,10.0,12.0,2013-10-12
46.71,55.88,6.71,63.54,741.67,13.08,154.6,2013.0,10.0,13.0,2013-10-13
31.33,37.5,3.11,48.08,541.67,10.92,112.1,2013.0,10.0,14.0,2013-10-14
15.54,26.0,5.35,50.42,391.67,18.71,84.62,2013.0,10.0,15.0,2013-10-15
49.62,82.29,8.12,68.25,745.83,14.33,161.41,2013.0,10.0,16.0,2013-10-16
132.67,170.33,22.21,94.83,1287.5,11.5,286.51,2013.0,10.0,17.0,2013-10-17
225.58,254.21,41.21,126.17,2150.0,3.62,466.8,2013.0,10.0,18.0,2013-10-18
68.38,65.62,15.75,48.21,720.83,22.38,156.86,2013.0,10.0,19.0,2013-10-19
24.92,47.67,7.61,56.08,542.75,20.84,116.64,2013.0,10.0,20.0,2013-10-20
84.04,128.46,18.46,86.57,1214.95,45.59,263.01,2013.0,10.0,21.0,2013-10-21
131.88,170.0,28.08,94.42,1182.09,44.95,275.24,2013.0,10.0,22.0,2013-10-22
26.21,67.33,7.75,44.04,425.0,20.71,98.51,2013.0,10.0,23.0,2013-10-23
18.62,40.58,3.79,26.0,362.5,47.88,83.23,2013.0,10.0,24.0,2013-10-24
40.67,63.25,10.21,58.12,650.0,33.79,142.67,2013.0,10.0,25.0,2013-10-25
59.67,91.25,15.67,72.1,770.83,19.04,171.43,2013.0,10.0,26.0,2013-10-26
185.29,225.71,35.71,122.46,1950.0,2.92,420.35,2013.0,10.0,27.0,2013-10-27
284.08,302.46,47.88,118.5,2875.0,14.92,607.14,2013.0,10.0,28.0,2013-10-28
36.88,48.75,13.96,46.17,708.33,26.04,146.69,2013.0,10.0,29.0,2013-10-29
81.62,110.21,14.5,77.83,1100.0,10.75,232.48,2013.0,10.0,30.0,2013-10-30
146.29,170.0,14.33,104.79,1662.5,20.65,353.09,2013.0,10.0,31.0,2013-10-31
183.83,201.04,21.62,105.67,1758.33,47.13,386.27,2013.0,11.0,1.0,2013-11-01
228.0,232.29,17.33,111.5,2041.67,47.41,446.37,2013.0,11.0,2.0,2013-11-02
49.96,53.83,7.42,43.21,691.67,39.24,147.55,2013.0,11.0,3.0,2013-11-03
36.54,60.83,12.54,58.54,675.0,39.47,147.15,2013.0,11.0,4.0,2013-11-04
166.29,221.54,34.25,100.5,2116.67,43.44,447.12,2013.0,11.0,5.0,2013-11-05
106.54,144.5,14.33,58.25,2429.17,52.55,467.56,2013.0,11.0,6.0,2013-11-06
34.42,65.0,13.29,47.83,1838.11,38.61,339.54,2013.0,11.0,7.0,2013-11-07
129.62,172.79,55.38,90.62,2345.83,56.35,475.1,2013.0,11.0,8.0,2013-11-08
95.79,125.29,51.96,66.96,1720.83,44.15,350.83,2013.0,11.0,9.0,2013-11-09
18.12,41.71,9.58,27.04,540.12,46.22,113.8,2013.0,11.0,10.0,2013-11-10
34.5,55.12,18.83,47.42,641.67,30.16,137.95,2013.0,11.0,11.0,2013-11-11
60.67,84.96,22.79,59.75,1225.0,46.16,249.89,2013.0,11.0,12.0,2013-11-12
166.38,190.58,60.83,98.67,3037.5,54.05,601.34,2013.0,11.0,13.0,2013-11-13
65.38,102.08,23.5,56.88,1345.83,49.26,273.82,2013.0,11.0,14.0,2013-11-14
92.83,167.88,33.17,91.0,2095.83,44.05,420.79,2013.0,11.0,15.0,2013-11-15
44.54,90.92,15.83,33.88,815.12,48.22,174.75,2013.0,11.0,16.0,2013-11-16
10.08,19.5,10.21,27.42,483.33,44.93,99.24,2013.0,11.0,17.0,2013-11-17
13.54,13.62,8.75,23.25,451.08,33.97,90.7,2013.0,11.0,18.0,2013-11-18
32.21,50.67,15.67,40.29,708.33,30.47,146.27,2013.0,11.0,19.0,2013-11-19
71.46,99.75,33.5,64.04,1933.33,47.15,374.87,2013.0,11.0,20.0,2013-11-20
105.04,127.29,45.88,77.17,2304.17,37.89,449.57,2013.0,11.0,21.0,2013-11-21
141.67,157.04,57.71,92.17,2379.17,26.01,475.63,2013.0,11.0,22.0,2013-11-22
197.54,217.88,67.96,112.04,3454.17,2.75,675.39,2013.0,11.0,23.0,2013-11-23
93.38,169.5,31.38,52.0,1737.5,14.79,349.76,2013.0,11.0,24.0,2013-11-24
13.0,26.38,10.67,27.12,529.17,23.46,104.97,2013.0,11.0,25.0,2013-11-25
17.33,49.62,11.62,24.21,708.33,34.29,140.9,2013.0,11.0,26.0,2013-11-26
7.5,39.21,4.04,9.79,350.0,45.12,75.94,2013.0,11.0,27.0,2013-11-27
18.83,38.75,10.92,29.5,687.5,28.0,135.58,2013.0,11.0,28.0,2013-11-28
56.08,92.17,27.46,73.79,1673.46,8.56,321.92,2013.0,11.0,29.0,2013-11-29
35.33,57.25,30.42,48.04,1029.17,16.25,202.74,2013.0,11.0,30.0,2013-11-30
66.5,96.12,36.38,73.96,1500.0,4.75,296.29,2013.0,12.0,1.0,2013-12-01
109.46,134.21,58.75,84.04,2683.33,1.08,511.81,2013.0,12.0,2.0,2013-12-02
73.58,102.71,44.46,62.04,1866.2,18.36,361.23,2013.0,12.0,3.0,2013-12-03
86.25,107.79,42.96,71.17,2154.17,5.71,411.34,2013.0,12.0,4.0,2013-12-04
38.21,57.0,28.62,43.62,1175.0,18.33,226.8,2013.0,12.0,5.0,2013-12-05
120.08,154.33,51.67,78.67,2575.0,1.79,496.92,2013.0,12.0,6.0,2013-12-06
265.12,275.83,82.75,103.54,4678.7,12.74,903.11,2013.0,12.0,7.0,2013-12-07
198.54,197.42,66.17,76.46,3493.36,22.5,675.74,2013.0,12.0,8.0,2013-12-08
9.5,13.17,11.04,25.21,745.98,34.64,139.92,2013.0,12.0,9.0,2013-12-09
18.88,39.75,15.58,32.83,828.24,30.51,160.96,2013.0,12.0,10.0,2013-12-10
21.5,34.38,14.67,40.58,745.83,20.57,146.26,2013.0,12.0,11.0,2013-12-11
16.71,28.38,13.67,30.79,839.66,26.31,159.25,2013.0,12.0,12.0,2013-12-12
